Frame,License_Plate_Text,Confidence
0,30H3 1768,0.8637200593948364
0,34P2 8494,0.7834977507591248
1,30H3 1768,0.8383415937423706
1,34P2 8494,0.737493634223938
2,30H3 1768,0.819182813167572
2,34P2 8494,0.7500049471855164
3,30H3 1768,0.8186219930648804
3,34P2 8494,0.7521442174911499
4,30H3 1768,0.8422560095787048
4,34P2 8494,0.7979345917701721
5,30H3 1768,0.8218714594841003
5,34P2 8494,0.7832943797111511
6,30H3 1768,0.8190412521362305
6,34P2 8494,0.8105506896972656
7,30H3 1768,0.8205562233924866
7,34P2 8494,0.7684608101844788
7,Y354K4T7D13,0.6322347521781921
8,30H3 1768,0.8205357789993286
8,34P2 8494,0.766736626625061
8,Y354K4T7D13,0.6322347521781921
9,34P2 8494,0.8242725133895874
9,30H3 1768,0.823712170124054
9,T135447D13,0.7516651153564453
10,30H3 1768,0.8288866281509399
10,354P2 8494,0.7984287142753601
10,T1354647D31,0.6502365469932556
11,30H3 1768,0.8260073661804199
11,534P2 8494,0.8218620419502258
11,7135447D13,0.7408671379089355
12,30H3 1768,0.8354061245918274
12,34P2 8494,0.7858835458755493
12,13544270D13,0.7594340443611145
13,30H3 1768,0.8328168988227844
13,135447031,0.830149233341217
13,34P2 8494,0.8171157240867615
14,135447013,0.8366557955741882
14,30H3 1768,0.831746518611908
14,34P2 8494,0.8266517519950867
15,T135447D13,0.8364588022232056
15,30H3 1768,0.8317804932594299
15,34P2 8494,0.824938178062439
16,30H3 1768,0.833678662776947
16,135447D13,0.8070473074913025
16,34P2M 8494,0.7519158720970154
17,30H3 1768,0.8401135802268982
17,135447D1 3,0.8097777366638184
17,34P2M 8494,0.7824336290359497
18,13544D713,0.8542037606239319
18,30H3 1768,0.842129111289978
18,34P2 8494,0.8097790479660034
19,T13544D713,0.8540604114532471
19,30H3 1768,0.8410859704017639
19,534P2M 8494,0.8198907971382141
20,30H3 1768,0.8340573906898499
20,135447D13,0.8288607001304626
20,34P2M 8A494,0.7779433727264404
21,13544D713,0.8470237255096436
21,30H3 1768,0.8335724472999573
21,34P2M 8494,0.8046212196350098
22,135447D13,0.8448427319526672
22,30H3 1768,0.836104154586792
22,34P2 8494,0.746360182762146
23,1735447D13,0.8624762892723083
23,30H3 1768,0.8396769762039185
23,34P2 8494,0.7952638268470764
24,13544D713,0.852314829826355
24,30H3 1768,0.8385221362113953
24,3AP2 8494,0.6212835907936096
25,13544D713,0.8537724614143372
25,30H3 1768,0.8448277115821838
25,34P2 8494,0.6571703553199768
26,13544D713,0.8593022227287292
26,30H3 1768,0.8419859409332275
26,34P2 8494,0.5489510893821716
27,13544D713,0.8373157978057861
27,30H3 1768,0.82966148853302
27,3AP2A 8494,0.7396349310874939
28,30H3 1768,0.8574311137199402
28,3540713 14,0.8380186557769775
28,3P92 8494,0.6659715175628662
29,34D1 15473,0.8336204290390015
29,30H3 1768,0.8305743336677551
29,3P2 8494,0.7640359997749329
30,135401 473,0.8290550708770752
30,30H31 1768,0.8263928294181824
30,2 8494,0.4919724762439728
31,35401 1473,0.8288043141365051
31,30H31 1768,0.8263523578643799
31,2 8494,0.49161940813064575
32,30H3 1768,0.8388743996620178
32,34D71 1543,0.8184841275215149
32,2 8494,0.462738573551178
33,34D1 T15473,0.8371915817260742
33,30H3 1768,0.8352940678596497
33,2 494,0.3696249723434448
34,34D01 1T5473,0.8189669251441956
34,30H3 1768,0.8185473084449768
35,34DO01 15473,0.8585953712463379
35,360H3 1768,0.8425765633583069
36,34DO01 15473,0.8568615913391113
36,3860H3 1768,0.8416479229927063
37,34D01 15473,0.8551707863807678
37,0QH3 1768,0.815266489982605
37,G24A 86494,0.403104305267334
38,34DO1 15473,0.8661310076713562
38,360QH3 176B8,0.8346550464630127
39,3S0QGH3 176B8,0.8292149305343628
39,34D01 715473,0.8197422027587891
39,2B 84,0.34086674451828003
40,S38HG 1768,0.8040768504142761
40,34D1 Y53723,0.7712386250495911
41,33AHG6 1768,0.8201314806938171
41,3A4D1 Y753472,0.8115665316581726
42,33H3 1768,0.8279026746749878
42,34D1 53732,0.7701033353805542
43,35H3 1768,0.8351420760154724
43,34D01 T5473,0.808794379234314
44,35H3 1768,0.8376480340957642
44,34D0O1 T5473,0.8089836835861206
45,34D1 Y5473E,0.8449689149856567
45,S3HG3 1768B,0.8217740058898926
46,SHG 1768,0.820496141910553
46,34D1 Y534T73,0.8021571636199951
47,34D1 15473,0.8672019243240356
47,633H3 1768,0.8313657641410828
48,34D1 15473,0.8417389392852783
48,3665H3 1768,0.8409673571586609
49,S6386SH3 1768,0.8325348496437073
49,34D1 54732,0.828106164932251
50,34D1 54732,0.8302053213119507
50,3665H3 1768,0.8284847140312195
51,34DO1 154732,0.8424350619316101
51,635H3 1768,0.8366150856018066
52,34D1 154T723,0.8367888927459717
52,S3SH3 1768,0.8299386501312256
53,S385H3 1768,0.8325001001358032
53,34D1 15473,0.8060432076454163
54,S38S5H3 1A768,0.8296889066696167
54,34D01 1547T235,0.8256648778915405
55,S383S5H3 1A768,0.8299643993377686
55,34D01 1547T235,0.8247676491737366
56,34D1 154732,0.8399344086647034
56,3HW3 1768,0.8094846606254578
57,3HW3 1768,0.8094041347503662
57,340D1 15473,0.8085405230522156
58,340O1 15473,0.8376114368438721
58,3HW3 1768,0.8203589916229248
59,34DO01 154573,0.8327344655990601
59,3HW3 1768,0.8088093400001526
60,34OD01 154573,0.8296980857849121
60,3HW3 1768,0.8077815175056458
61,34D1 1534A732,0.7910130620002747
61,S3A3 1768S,0.6874499320983887
62,3540D1 1732,0.7982010841369629
62,S335A3 1768,0.7658576965332031
63,S3AA3 1768,0.8087522387504578
63,34D01 15732,0.6910685896873474
64,354D1 1723,0.8046655654907227
64,306A3 1768,0.7993012070655823
65,354D1 1723,0.8024536371231079
65,306A3 1768,0.7997010350227356
66,30A3 1A768,0.8122957348823547
66,34D01 154732,0.7754344940185547
67,313 1768,0.810065746307373
67,340D1 154732,0.8100556135177612
68,3Q093 1A768,0.810987114906311
68,34D1Y 154A732,0.6917303204536438
69,3D3 1A768,0.8178894519805908
69,3401 154732,0.796698808670044
70,3A401Y 154732,0.8223061561584473
70,3A3 1768,0.8016613721847534
71,3A40Y1 154AT732,0.8387083411216736
71,33 10768,0.8127868175506592
72,3401 15KAT32,0.8073555827140808
72,A3A3 1768,0.8061051964759827
73,3401 15KA4T32,0.820652961730957
73,3AA36 768,0.8063637018203735
74,34D01T 154A7T32,0.8545593023300171
74,303 1T68,0.8311132192611694
75,3AS3 AT768,0.8242115378379822
75,3401 1547T3,0.7951133251190186
76,3A3 A7T68,0.8217391967773438
76,34A01 1547T3,0.7945986390113831
77,3AA632 7T68,0.827286422252655
77,340DT1 15A4732,0.779392659664154
78,23 7T68,0.84461909532547
78,340T 15A47T3,0.8075340390205383
79,G2 1TT68,0.8103896379470825
79,34K0G1 156A73,0.8005265593528748
80,G6663 1768,0.8223772644996643
80,3401 15A473,0.7958611249923706
81,GD632 1768,0.8216822743415833
81,340D1 154A73,0.7655160427093506
82,340D1 15473,0.8066434860229492
82,303 17868,0.800018846988678
83,340D1 15473,0.8063520789146423
83,303 17688,0.8010892271995544
84,306BA3 1768,0.8097025156021118
84,3401 15473,0.7900410294532776
85,36G62 1766,0.8669444918632507
85,3G401 15A473,0.785093367099762
86,3601 T54A73,0.8014399409294128
86,G662 17666,0.7403319478034973
86,7XA1Y G,0.31811633706092834
87,3601 1T5A7YT3,0.7463333010673523
87,AGRG3R TIT7DG6066,0.7004349827766418
88,G3R0C1 1G6AG,0.6479877233505249
89,136A0G7KM1 1T566A,0.7361810207366943
89,02 RD65G55,0.49730709195137024
90,A3G4A0D1F 1546A,0.7345606684684753
90,21,0.499935507774353
91,3A40D1 1Y5S6AT3,0.7327519655227661
91,1YRX5A1,0.4657631814479828
92,3A40D1 1Y5S6AT3,0.7339454889297485
92,1YRX5A1,0.463800311088562
93,34AD012 15S473,0.7633531093597412
94,34D713 154,0.7918218374252319
94,13G6657A241915,0.43532535433769226
95,34D13 1547,0.8302192091941833
95,136657491F4,0.573813259601593
95,,0.375436395406723
96,34D1 15473,0.8109591603279114
96,13665749145,0.795976996421814
97,34D1 15473,0.8100672960281372
97,136657K49P145,0.8003403544425964
98,34D1 154732,0.8085504174232483
98,136657K4P91F4,0.7828735113143921
99,34D013 1547,0.8152390718460083
99,1366574915F,0.7611133456230164
100,34D1 15473,0.8056718111038208
100,136657491F5,0.7348859906196594
101,340DT 15473,0.7470961809158325
101,133674915,0.7144997119903564
102,340DT 15473,0.7480984926223755
102,133674915,0.7200908660888672
103,354D713 14,0.7806347608566284
103,133674913,0.7309533953666687
104,354DT1 1473,0.796288788318634
104,133S65XT74915,0.599968671798706
105,340DT1 15473,0.7684022784233093
105,133S2657T91536,0.6407437324523926
106,34A01 15S147T3,0.7908488512039185
106,1AGS3129351,0.7506140470504761
107,34A01 15S4A7T3,0.8048044443130493
107,1A6GT912531,0.7414743900299072
108,3GAA40D1 15S1AT3,0.7626129388809204
108,RGT215S31,0.6487880945205688
109,3401 15473,0.7683169841766357
109,136574915,0.6747614741325378
110,34O0D1 1S5473,0.7817361354827881
110,11366574K913,0.7653542160987854
111,3A410D1 15473,0.8082837462425232
111,136674913,0.6067734956741333
112,340DOT1 15S4A73,0.7894889116287231
112,136657KP91Y5,0.7070897817611694
113,340DT1 1S5473,0.7905495166778564
113,136657K915,0.6893402934074402
